All,Све
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","Начин доставе се не може подесити када је корпа празна. Додајте производ у корпу и покушајте поново."
"Something went wrong with your request. Please try again later.","Дошло је до грешке у вашем захтеву. Молимо покушајте поново касније."
"The shipping method is missing. Select the shipping method and try again.","Недостаје начин доставе. Одаберите начин доставе и покушајте поново."
"Show Cross-sell Items in the Shopping Cart","Прикажи Цросс-селл производе у корпи"
"Please specify a regionId in shipping address.","Молимо наведите регион у адреси за доставу."
"Terms and Conditions","Услови Коришћења"
"Add New Condition","Додај Нови Услов"
"Save Condition","Сачувај Услов"
"Delete Condition","Обриши Услов"
"Edit Terms and Conditions","Измени Услове Коришћења"
"New Terms and Conditions","Нови Услови Коришћења"
"Terms and Conditions Information","Информације о Условима Коришћења"
"Condition Name","Назив Услова"
"Show Content as","Прикажи Садржај као"
HTML,ХТМЛ
Applied,Примењено
"Checkbox Text","Текст у пољу за Потврду"
"Content Height (css)","Висина Садржаја (цсс)"
"Content Height","Висина Садржаја"
Condition,Стање
Sales,Продаја
"Checkout Conditions","Услови Плаћања"
"Checkout Terms and Conditions","Услови Плаћања и Коришћења"
"This condition no longer exists.","Овај услов више не постоји."
"You deleted the condition.","Обрисали сте услов."
"Something went wrong  while deleting this condition.","Дошло је до грешке приликом брисања овог услова."
"Edit Condition","Измени Услов"
"New Condition","Нови Услов"
"You saved the condition.","Сачували сте услов."
"Something went wrong while saving this condition.","Дошло је до грешке приликом чувања овог услова."
Automatically,Аутоматски
Manually,Ручно
"Unable to save checkout agreement %1","Није могуће саве цхецкоут агреемент %1"
"Unable to remove checkout agreement %1","Није могуће ремове цхецкоут агреемент %1"
"Checkout agreement with specified ID ""%1"" not found.","Уговор о наплати са наведеним ИД ""%1"" није пронађен."
"Terms & Conditions","Услови Коришћења"
"Enable Terms and Conditions","Омогући Услове Коришћења"
"The ""%1"" checkout agreement couldn't be saved.","""%1"" уговор о наплати није могао да буде сачуван."
"The ""%1"" checkout agreement couldn't be removed.","""%1"" уговор о наплати није могао да буде уклоњен."
"A checkout agreement with the ""%1"" specified ID wasn't found. Verify the ID and try again.","Уговор о плаћању са ""%1"" ИД-ем није пронађен. Провери ИД и покушај поново."
"Preview mode doesn't allow submitting the order.","Преглед моде доесн'т аллоw субмиттинг тхе ордер."
"Preview Quote Lifetime (minutes)","Преглед Понуда Лифетиме (минутес)"
"Static Blocks","Статички Блокови"
"Add New Block","Додај Нови Блок"
"Delete Block","Избриши Блок"
"Save Block","Сачувај Блокирај"
Identifier,Идентификатор
"Manage Pages","Управљај Страницама"
"Add New Page","Додај Нову Страницу"
"Delete Page","Избриши Страницу"
"Save Page","Сачувај Страницу"
Created,Креиран
Modified,Измењено
"Media Storage","Складиште Медиа садржаја"
"Create Folder...","Креирај Фолдер..."
"Delete Folder","Избришите фасциклу"
"Delete File","Избриши датотеку"
"Insert File","Убаци Датотека"
"New Folder Name:","Нови Назив Фолдера:"
"Are you sure you want to delete this folder?","Да ли сте сигурни да желите да избришете овај фолдер?"
"Are you sure you want to delete this file?","Да ли сте сигурни да желите да обришете ову датотеку?"
"Images (%1)","Слике (%1)"
CMS,ЦМС
"You deleted the block.","Обрисали сте блок."
"We can't find a block to delete.","Не можемо пронаћи блок за брисање."
"This block no longer exists.","Овај блок више не постоји."
"Edit Block","Измени Блок"
"New Block","Нови Блок"
Blocks,Блокови
"You saved the block.","Сачували сте блок."
"Something went wrong while saving the block.","Дошло је до грешке приликом чувања блока."
"The page has been deleted.","Страница је обрисана."
"We can't find a page to delete.","Не можемо пронаћи страну за брисање."
"This page no longer exists.","Ова страница више не постоји."
"Edit Page","Измени страницу"
"New Page","Нова Страница"
Pages,Странице
"Something went wrong while saving the page.","Дошло је до грешке приликом чувања странице."
"A total of %1 record(s) have been disabled.","Укупно %1 запис(а) је онемогућен."
"A total of %1 record(s) have been enabled.","Укупно %1 запис(а) је омогућен."
"Page Title","Наслов стране"
"To apply changes you should fill in hidden required ""%1"" field","Да бисте применили промене морате попунити скривени захтев ""%1"" поља"
"You saved the page.","Сачували сте страницу."
"Directory %1 is not under storage root path.","Директоријум %1 није у магацину роот путање."
"The directory %1 is not writable by server.","Директоријум %1 није уписив од сервера."
"Make sure that static block content does not reference the block itself.","Уверите се да садржај статичног блока не наводи сам блок."
"CMS Block with id ""%1"" does not exist.","ЦМС блок са ИД ""%1"" не постоји."
"Enabled by Default","Омогућено по дифолту"
"Disabled by Default","Онемогућено по дифолту"
"Disabled Completely","У потпуности Онемогућено"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Овај идентификатор је резервисан за ""ЦМС Но Роуте Паге"" у конфигурацијама."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Овај идентификатор је резервисан за ""ЦМС Хоме Паге"" у конфигурацијама."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Овај идентификатор је резервисан за ""ЦМС Но Цоокиес Паге"" у конфигурацијама."
"Could not save the page: %1","Није могуће сачувати страницу: %1"
"CMS Page with id ""%1"" does not exist.","ЦМС страница са ИД ""%1"" не постоји."
"Could not delete the page: %1","Није могуће избрисати страницу: %1"
"A block identifier with the same properties already exists in the selected store.","Идентификатор блока са истим подешавањима већ постоји у одабраној продавници."
"The page URL key cannot be made of only numbers.","Тхе паге УРЛ кеy не може бе маде оф онлy нумберс."
"Please rename the folder using only letters, numbers, underscores and dashes.","Молимо преименујте фолдер користећи само слова, бројеве, доње црте и цртице."
"We found a directory with the same name. Please try another folder name.","Нашли смо директоријум са истим називом. Молимо покушајте користити неко друго име."
"We cannot create a new directory.","Не можемо креирати нови директоријум."
"We cannot delete directory %1.","Не можемо избрисати директоријум %1."
"We can't upload the file right now.","Не можемо отпремити фајл тренутно."
"Privacy and Cookie Policy","Полиса о Приватности и Колачићима"
"Error message","Порука грешке"
LocalizedException,"Локализовани изузетак"
Exception,Изузетак
"Could not create a directory.","Нисмо могли креирати директоријум."
"Are you sure you want to delete a %1 record?","Да ли сте сигурни да желите да обришете %1 запис?"
View,Преглед
"No files found","Датотеке нису пронађене"
"Media Gallery","Медиа Галерија"
"Content Management","Управљање Садржајима"
"CMS Home Page","ЦМС Почетна Страница"
"CMS No Route Page","ЦМС Нема Путање Страница"
"CMS No Cookies Page","ЦМС Нема Колачића Страница"
"Show Breadcrumbs for CMS Pages","Прикажи Бреадцрумбс за ЦМС Странице"
"Browser Capabilities Detection","Откривање Могућности Претраге"
"Redirect to CMS-page if Cookies are Disabled","Преусмери на ЦМС страницу ако су Колачићи Онемогућени"
"Show Notice if JavaScript is Disabled","Прикажи Обавештење ако је ЈаваСцрипт Онемогућен"
"Show Notice if Local Storage is Disabled","Прикажи Обавештење ако је Локално Складиште Онемогућено"
"WYSIWYG Options","WYСИWYГ Опције"
"Enable WYSIWYG Editor","Омогући WYСИWYГ Едитор"
"CMS Page Link","Линк ЦМС Странице"
"Link to a CMS Page","Линк до ЦМС Странице"
"CMS Page","ЦМС Страница"
"Select Page...","Одабери Страницу..."
"If empty, the Page Title will be used","Ако је празно, Наслов Странице ће бити коришћен"
"CMS Page Link Block Template","Шаблон Блок Линкова на ЦМС Страници"
"CMS Page Link Inline Template","Шаблон Линкова у Реду на ЦМС Страници"
"CMS Static Block","ЦМС Статички Блок"
"Contents of a Static Block","Садржаји Статичног Блока"
Block,Блокови
"Select Block...","Одабери Блок..."
"CMS Static Block Default Template","ЦМС Подразумевани Шаблон Статичког Блока"
"Enable Block","Омогући Блок"
"Block Title","Наслов Блока"
"Are you sure you want to delete selected items?","Да ли сте сигурни да желите да обришете одабране ставке?"
"Page Information","Информације о Страници"
"Enable Page","Омогући Страницу"
"Content Heading","Заглавље Садржаја"
"Page in Websites","Странице у Wеб Сајту"
"Custom Design Update","Ажурирање Одабраног дизајна"
"New Layout","Нови Распоред"
"Custom design from","Одабрани дизајн од"
"Custom design to","Одабрани дизајн до"
"Custom Theme","Прилагођена Тема"
"Custom Layout","Прилагођени Распоред"
"Edit Block '%1'","Измени Блокирај '%1'"
"Edit Page '%1'","Измени Страница '%1'"
"Page Layout","Распоред странице"
"Custom Design From","Цустом Дизајн Фром"
"Custom Design To","Цустом Дизајн То"
"Custom Layout Update XML","Цустом Лаyоут Ажурирај XМЛ"
"Page Status","Страница Статус"
Keywords,"Кључне речи"
"You saved this page.","Сачували сте ову страницу."
"Could not create directory.","Није могуће креирати директоријум."
"Delete ${ $.$data.title }","Обриши ${ $.$дата.титле }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Да ли сте сигурни yоу wан'т то делете а ${ $.$дата.титле } рецорд?"
"Delete ""${ $.$data.title }""","Обриши ""${ $.$дата.титле }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Да ли сте сигурни да желите да обришете ""${ $.$дата.титле }"" запис?"
"Are you sure you wan't to delete selected items?","Да ли сте сигурни yоу wан'т то делете селецтед итемс?"
"File validation failed.","Неуспешна валидација фајлова."
"Are you sure you wan't to delete a %1 record?","Да ли сте сигурни yоу wан'т то делете а %1 рецорд?"
"Search Engine Optimisation","Оптимизација за претраживаче"
"Delete Selected","Избриши одабрано"
"Create Folder","Креирај директоријум"
"You duplicated the block.","Дуплирали сте блок."
"You duplicated the page.","Дуплирали сте страницу."
"The CMS block with the ""%1"" ID doesn't exist.","ЦМС блок са ""%1"" ИД не постоји."
"The CMS page with the ""%1"" ID doesn't exist.","ЦМС страница са ""%1"" ИД не постоји."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","У УРЛ кључу странице се не могу користити велика слова и недозвољени карактери. Уклоните слова и симболе и покушајте поново."
"The page URL key can't use only numbers. Add letters or words and try again.","У УРЛ кључу не можете користити само бројеве. Додајте слова или речи и покушајте поново."
"Upload Images","Убаци Слике"
"Default Page Layout","Подразумевани Распоред Страница"
"""identifiers"" of CMS blocks should be specified","""идентификатори"" ЦМС блокова треба да буду наведени"
"""Page id should be specified","""ИД странице треба да буде наведен"
"The block will be removed from the update and all scheduled changes will be lost.","Блок ће бити уклоњен из ажурирања и све заказане промене ће бити изгубљене."
"Remove CMS page from Update","Уклони ЦМС паге фром Ажурирај"
"Search Engine Optimisation","Претрага Енгине Оптимисатион"
"The page will be removed from the update and all scheduled changes will be lost.","Страна ће бити уклоњен из ажурирања и све заказане промене ће бити изгубљене."
"CMS Pages","ЦМС странице"
"CMS Blocks","ЦМС блокови"
"Remove CMS block from Campaign","Уклони ЦМС блоцк фром Кампања"
"Remove CMS page from Campaign","Уклони ЦМС паге фром Кампања"
"Remove CMS Page from Campaign","Уклони ЦМС Страница фром Кампања"
"Remove CMS Block from Campaign","Уклони ЦМС Блокирај фром Кампања"
"Delete Customer","Обриши Купца"
"Delete Company","Обриши компанију"
Companies,Компаније
"Add New Company","Додај нову компанију"
"Company Name:","Назив компаније:"
"Company Legal Name:","Правни назив компаније:"
"Company Email:","Емаил компаније:"
"VAT/TAX ID:",ПИБ:
"Re-seller ID:","ИД препродавца:"
"Street Address:","Стреет Адреса:"
City:,Град:
Country:,Земља:
State/Province:,Држава/Провинција:
"ZIP/Postal Code:","Поштански број:"
"Phone Number:","Број телефона:"
"Job Title:","Радно место:"
"Email Address:","Е-маил адреса:"
Prefix:,Префикс:
"First Name:",Име:
"Middle Name/Initial:","Средње име/Иницијал:"
"Last Name:",Презиме:
Suffix:,Суфикс:
Gender:,Пол:
Duplicated,Дупликат
"Company Structure","Структура компаније"
"New Company","Нова компанија"
"An error occurred on the server. Your changes have not been saved.","Дошло је до грешке он тхе сервер. Yоур цхангес хаве нот беен савед."
"Create New Company","Креирај нову компанију"
"Something went wrong. Please try again later.","Нешто није у реду. Покушајте поново латер."
"Invalid value of ""%value"" provided for the email field.","Неважећа вредност ""%валуе"" наведена за поље емаил."
"Invalid value ""%value"" given for the website ID field.","Неважећа вредност ""%валуе"" наведена за поље ИД веб сајта."
"The company no longer exists.","Компанија више не постоји."
"The requested company is not found","Тражена компанија није пронађена"
"A total of %1 record(s) were deleted.","Укупно %1 запис(а) је обрисано."
"Could not save company","Није могуће сачувати компанију"
"A user with this email address already exists in the system. If you proceed, the user will be linked to your company.","Корисник са овом емаил адресом већ постоји у систему. Ако наставите, корисник ће бити повезан са вашом компанијом."
"A user with this email address already exists in the system. Enter a different email address to create this user.","Корисник са овом емаил адресом већ постоји у систему. Унесите другу емаил адресу."
"You are not allowed to do this.","Није вам дозвољено да ово урадите."
"Cannot create the customer.","Не може се креирати купац."
"The customer was successfully created.","Купац је успешно креиран."
"You cannot delete yourself.","Не можете обрисати себе."
"Cannot delete this user.","Не може делете тхис усер."
"The customer was successfully deleted.","Купац је успешно обрисан."
"The customer was successfully updated.","Купац је успешно ажуриран."
"Company Profile","Профил компаније"
"The changes you made on the company profile have been successfully saved.","Тхе цхангес yоу маде он тхе цомпанy профиле су успешно савед."
"You must fill in all required fields before you can continue.","Yоу муст филл ин алл обавезно пољес бефоре yоу цан цонтинуе."
"Bad Request","Бад Захтев"
"Add New Role","Додај Ново Роле"
"Edit Role","Измени Роле"
"Roles and Permissions","Улоге и дозволе"
"The tree retrieved successfully.","Стабло је успешно преузето."
"The item was successfully moved.","Артикал је успешно премештен."
"The team was successfully deleted.","Тим је успешно обрисан."
"The team was successfully updated.","Тим је успешно ажуриран."
"The team was successfully created.","Тим је успешно креиран."
"Company Users","Корисници компаније"
"Pending Approval","Чека одобрење"
Rejected,Одбијено
Blocked,Блокирано
"The company admin cannot be moved to a different location in the company structure.","Тхе цомпанy админ не може бе мовед то а дифферент лоцатион ин тхе цомпанy струцтуре."
"A user or a team cannot be moved under itself.","А усер ор а теам не може бе мовед ундер итселф."
"A user or a team cannot be moved under its child user or team.","А усер ор а теам не може бе мовед ундер итс цхилд усер ор теам."
"Unable to move customer structure.","Није могуће преместити структуру купца."
"Cannot delete company with id %1","Не може делете цомпанy wитх ид %1"
"No company admin email is specified in request.","Не цомпанy админ емаил ис специфиед ин реqуест."
"No company admin website ID is specified in request.","Не цомпанy админ wебсите ИД ис специфиед ин реqуест."
"No such entity with id = %idValue","Не суцх ентитy wитх ид = %идВалуе"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Тхе усер %1 ис тхе цомпанy админ анд не може бе сет то инацтиве. Yоу муст сет анотхер усер ас тхе цомпанy админ фирст."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","Yоу не може упдате тхе реqуестед аттрибуте. Роw ИД: %фиелдНаме = %фиелдВалуе."
"Invalid attribute value. Cannot change company for a company admin.","Неисправан аттрибуте валуе. Не може цханге цомпанy фор а цомпанy админ."
"Company admin","Компанија админ"
"Company user","Компанија усер"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Није могуће поставити ""дозволи"" за ресурс јер је његов надређени ресурс постављен на ""одбиј""."
"Invalid login or password.","Неисправно пријављивање или шифра."
"This account is locked.","Ваш налог је закључан."
"Invalid value of ""%value"" provided for the %fieldName field.","Неисправна вредност у ""%валуе"" обезбеђеној за %фиелдНаме поље."
"No such entity with %fieldName = %fieldValue","Не постоји ентитет са %фиелдНаме = %фиелдВалуе"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","Тхис роле не може бе делетед бецаусе усерс аре ассигнед то ит. Реассигн тхе усерс то анотхер роле то цонтинуе."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","Yоу не може делете а роле wхен ит ис тхе онлy роле ин тхе цомпанy. Yоу муст цреате анотхер роле бефоре делетинг тхис роле."
"Cannot delete role with id %1","Не може делете роле wитх ид %1"
"Type %1 is not an instance of %2","Тип %1 није инстанца %2"
"Company with this email address already exists in the system. Enter a different email address to continue.","Компанија wитх тхис емаил аддресс алреадy еxистс ин тхе сyстем. Ентер а дифферент емаил аддресс то цонтинуе."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Неисправан аттрибуте валуе. Одбијен дате&тиме анд Одбијен Реасон цан бе цхангед онлy wхен а цомпанy статус ис цхангед то Одбијен."
"Could not save company: %1","Није могао саве цомпанy: %1"
"Cannot delete structure with id %1","Не може делете струцтуре wитх ид %1"
"Could not create team","Није могао цреате теам"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","Тхис теам хас цхилд усерс ор теамс алигнед то ит анд не може бе делетед. Плеасе ре-алигн тхе цхилд усерс ор теамс фирст."
"Could not update team","Није могао упдате теам"
"Cannot delete team with id %1","Не може делете теам wитх ид %1"
"You cannot assign a different role to a company admin.","Yоу не може ассигн а дифферент роле то а цомпанy админ."
"You cannot assign multiple roles to a user.","Yоу не може ассигн мултипле ролес то а усер."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Не може делете тхе цомпанy админ. Обриши оператион је стоппед. Плеасе репеат тхе ацтион фор тхе отхер цустомерс."
"Something went wrong","Нешто није у реду"
"This customer company account is blocked and customer cannot place orders.","Тхис цустомер цомпанy аццоунт ис блоцкед анд цустомер не може плаце ордерс."
" - Duplicated","- Дуплицатед"
"Exception message","Порука о изузећу"
"No such entity.","Не суцх ентитy."
"error message","порука о грешци"
"Could not save role","Није могуће сачувати улогу"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%фиелдНаме"" је обавезно. Унесите и покушајте поново.""%фиелдНаме"" је обавезно. Унесите и покушајте поново."
"Cannot delete team","Не може се обрисати тим"
"Role Name","Назив улоге"
"Role Name 15","Роле Назив 15"
"Company Name","Назив компаније"
"Customer Type:","Тип купца:"
Company:,Компанија:
"Company Information","Информације о компанији"
"Company Legal Name","Правни назив компаније"
"Company Email","Емаил компаније"
"VAT/TAX ID",ПИБ
"Re-seller ID","ИД препродавца"
"Legal Address","Правна адреса"
"Please select a region, state or province.","Молимо одаберите место."
"Phone Number","Број телефона"
"Company Administrator","Администратор компаније"
"Job Title","Радно место"
"New Company Account","Нови налог компаније"
"Create a Company Account","Креирај налог компаније"
"Add User","Додај Усер"
"Add Team","Додај Теам"
"Edit Selected","Измени Селецтед"
"User Role","Улога корисника"
"Team Title","Назив тима"
"You don't have a company account yet.","Још увек немате налог компаније."
"VAT/TAX ID: ",ПИБ:
"Re-seller ID: ","ИД препродавца:"
"You have no other address entries in your address book.","Немате више уноса у свом адресару."
Contacts,Контакти
"Role Information","Информације о улози"
"Role Permissions","Дозволе улоге"
"Save Role","Сачувај улогу"
"Add New User","Додај новог корисника"
"Create an Account","Креирај Налог"
"This action will replace your Company Admin.","Тхис ацтион wилл реплаце yоур Компанија Админ."
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Додељени сте <а хреф=""%цустомер_урл"">%цомпанy_наме</а> као администратор компаније."
"* Create and manage company users and teams","* Креирај анд манаге цомпанy усерс анд теамс"
"* Create and manage company shipping and billing addresses","* Креирај анд манаге цомпанy схиппинг анд биллинг аддрессес"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Додати сте у <а хреф=%цустомер_урл>%цомпанy_наме</а> као члан компаније.
    Када уђете у свој налог,
    дељени ресурси компаније биће вам доступни."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Ако је ово грешка,
    контактирајте администратора компаније на %цомпанy_админ_емаил."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Ваш налог је сада активан. Можете га користити за пријављивање на <а хреф=""%цустомер_урл"">веб сајт</а>."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Yоур аццоунт је сет то инацтиве анд yоу не може ноw аццесс тхе цомпанy аццоунт. Иф yоу тхинк тхис ис а мистаке, плеасе цонтацт yоур манагер фор детаилс."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","А цомпанy регистратион реqуест је субмиттед бy цустомер %цустомер. Тхе аццоунт ис темпорарилy лоцкед унтил yоу аппрове ор рејецт тхис цомпанy."
"Company: %company","Компанија: %цомпанy"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Ваш захтев за регистрацију компаније (за <стронг>%цомпанy_наме</стронг>)
    је одобрен и постављени сте као Админ компаније.
    Сада можете креирати и управљати структуром своје компаније.
    Чланови ваше компаније могу захтевати понуде, креирати листе захтева
    и користити друге Б2Б функције."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Статус ваше компаније <стронг>%цомпанy_наме</стронг>
    је сада <стронг>Активан</стронг>.
    Када се пријавите, моћи ћете да наручујете у име своје компаније
    и користите друге Б2Б функције."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Yоур аццоунт тyпе је цхангед фром Компанија Админ то а регулар усер аццоунт. Иф yоу тхинк тхис ис а мистаке, плеасе цонтацт yоур манагер фор детаилс."
"%name,","%назив,"
"You have been assigned to %company_name as the Sales Representative.","Yоу су ассигнед то %цомпанy_наме ас тхе Продаја Репресентативе."
"When you sign in to your account, you will be able to:","Када се пријавите на свој налог, моћи ћете да:"
"* View and manage company quotes in Admin Panel","* Преглед анд манаге цомпанy qуотес ин Админ Панел"
"* View and edit company profile in Admin Panel","* Преглед анд едит цомпанy профиле ин Админ Панел"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Налог ваше компаније <стронг>%цомпанy_наме</стронг> је блокиран.
    Чланови ваше компаније могу наставити да користе веб сајт,
    али неће моћи да наручују."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Yоур цомпанy аццоунт <стронг>%цомпанy_наме</стронг> је суспендед, пендинг аппровал фром тхе селлер."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Ваш захтев за регистрацију компаније (за <стронг>%цомпанy_наме</стронг>) је одбијен
    из следећег разлога:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис цомпанy? Афтер тхе цомпанy ис делетед, алл тхе цомпанy мемберс wилл бе сет то Неактиван."
"Delete a Company?","Обрисати компанију?"
"Sorry! You cannot delete this user: The user is the company admin.","Соррy! Yоу не може делете тхис усер: Тхе усер ис тхе цомпанy админ."
"Cannot Delete the Company Admin","Не може Обриши тхе Компанија Админ"
"No results","Нема резултата"
"Change Company Status?","Променити статус компаније?"
"Cannot delete the user","Не може делете тхе усер"
"This user cannot be deleted because he/she is a company admin.","Тхис усер не може бе делетед бецаусе хе/схе ис а цомпанy админ."
"Edit User","Уреди корисника"
"Cannot Delete User","Не може се обрисати корисник"
"Delete this user?","Обрисати овог корисника?"
"This action cannot be undone. Are you sure you want to delete this user?","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис усер?"
"Edit Team","Измени Теам"
"Cannot Delete This Team","Не може се обрисати овај тим"
"Delete this team?","Обрисати овај тим?"
"This action cannot be undone. Are you sure you want to delete this team?","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис теам?"
"Delete This Role?","Обрисати ову улогу?"
"This action cannot be undone. Are you sure you want to delete this role?","Тхис ацтион не може бе ундоне. Да ли сте сигурни желите да делете тхис роле?"
"Cannot Delete Role","Не може се обрисати улога"
"Cannot Delete Customer","Не може се обрисати купац"
"Set Inactive","Постави као неактивно"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Изабери Обриши то перманентлy делете тхе усер аццоунт анд цонтент. Усер'с ордерс анд qуотес аре стилл висибле фор тхе мерцхант. Изабери Сет Неактиван то темпорарилy лоцк тхе усер. Тхе усер’с цонтент ис стилл аваилабле то парент усерс."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Усер wитх тхис емаил алреадy еxистс ин тхе сyстем. Ентер а дифферент емаил аддресс то цонтинуе. Иф желите да усе yоур цуррент аццоунт ас ан администратор аццоунт, плеасе цонтацт тхе селлер."
"Enable Company","Омогући Компанија"
"Company Configuration","Конфигурација компаније"
"Allow Company Registration from the Storefront","Дозволи Компанија Регистратион фром тхе Сторефронт"
"Email Options - Company Registration","Е-пошта Оптионс - Компанија Регистратион"
"Company Registration Email Recipient","Прималац емаила регистрације компаније"
"Send Company Registration Email Copy To","Пошаљи копију емаила регистрације компаније на"
"Send Email Copy Method","Метод слања копије емаила"
"Default Company Registration Email","Подразумевано Компанија Регистратион Е-пошта"
"Customer-Related Emails","Купац-Релатед Емаилс"
"Default 'Sales Rep Assigned' Email","Подразумевано 'Продаја Реп Ассигнед' Е-пошта"
"This email is sent to the company's Sales Rep and the Company Admin.","Тхис емаил ис сент то тхе цомпанy'с Продаја Реп анд тхе Компанија Админ."
"Default 'Assign Company to Customer' Email","Подразумевано 'Ассигн Компанија то Купац' Е-пошта"
"Default 'Assign Company Admin' Email","Подразумевано 'Ассигн Компанија Админ' Е-пошта"
"Default 'Company Admin Inactive' Email","Подразумевано 'Компанија Админ Неактиван' Е-пошта"
"Default 'Company Admin Changed To Member' Email","Подразумевано 'Компанија Админ Цхангед То Мембер' Е-пошта"
"Default 'Customer Status Active' Email","Подразумевано 'Купац Статус Активан' Е-пошта"
"Default 'Customer Status Inactive' Email","Подразумевано 'Купац Статус Неактиван' Е-пошта"
"Company Status Change","Промена статуса компаније"
"Send Company Status Change Email Copy To","Пошаљи Компанија Статус Цханге Е-пошта Копирај То"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Цомма-сепаратед. Тхе реципиент(с) wилл гет а цопy оф ан емаил wхицх ис бy дефаулт сент то тхе Компанија Админ онлy."
"Default 'Company Status Change To Active 1"" Email","Подразумевани емаил 'Промена статуса компаније у Активна 1"""
"This email is sent when company status changes from Pending Approval to Active.","Тхис емаил ис сент wхен цомпанy статус цхангес фром На чекању Аппровал то Активан."
"Default 'Company Status Change To Active 2"" Email","Подразумевани емаил 'Промена статуса компаније у Активна 2"""
"This email is sent when company status changes from Rejected or Blocked to Active.","Тхис емаил ис сент wхен цомпанy статус цхангес фром Одбијен ор Блоцкед то Активан."
"Default 'Company Status Change To Rejected"" Email","Подразумевани емаил 'Промена статуса компаније у Одбијена"""
"This email is sent when company status changes to Rejected.","Тхис емаил ис сент wхен цомпанy статус цхангес то Одбијен."
"Default 'Company Status Change To Blocked"" Email","Подразумевани емаил 'Промена статуса компаније у Блокирана"""
"Default 'Company Status Change To Pending Approval"" Email","Подразумевани емаил 'Промена статуса компаније у Чека одобрење"""
"This email is sent when company status changes to Pending Approval.","Тхис емаил ис сент wхен цомпанy статус цхангес то На чекању Аппровал."
"Account Information (View)","Информације о налогу (Преглед)"
"Legal Address (View)","Правна адреса (Преглед)"
"Contacts (View)","Цонтацтс (Преглед)"
"Company User Management","Управљање корисницима компаније"
"View roles and permissions","Прегледај улоге и дозволе"
"View users and teams","Прегледај кориснике и тимове"
"Checkout (place order)","Наплата (плаце ордер)"
"Use Pay On Account method","Користи метод плаћања на рачун"
"View orders","Прегледај поруџбине"
"View orders of subordinate users","Прегледај поруџбине подређених корисника"
"Are you sure you want to set the selected companies as active?","Да ли сте сигурни желите да сет тхе селецтед цомпаниес ас ацтиве?"
"Set a Company as Active","Постави компанију као активну"
"Set Active","Постави као активно"
"Are you sure you want to block the selected companies?","Да ли сте сигурни желите да блоцк тхе селецтед цомпаниес?"
"Block a Company","Блокирај компанију"
